pair_ID	genre	verb	sentence1	sentence2	gold_label	avg_score	freq_label	crowd_score	crowd_label
7971	past.fph.neutral.act.pos.factive	acknowledged	Someone acknowledged that the white dogs were looking curiously at the black llama	A black sheep was standing near three white dogs	neutral	1.33	neutral	[1, 2, 1]	['neutral', 'neutral', 'neutral']
8104	past.fpp.neutral.act.pos.factive	acknowledged	Someone acknowledged that a woman was being smeared with brown substance and a blurry crowd was in the background	A woman was being smeared with brown substance and a blurry crowd was in the background	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8104	past.fph.neutral.act.pos.factive	acknowledged	Someone acknowledged that a woman was being smeared with brown substance and a blurry crowd was in the background	A topless woman was being covered in mud	neutral	4	entailment	[3, 5, 4]	['neutral', 'entailment', 'entailment']
8412	past.fpp.entailment.act.pos.factive	acknowledged	Someone acknowledged that a black dog was jumping off a dock into water	A black dog was jumping off a dock into water	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8412	past.fph.entailment.act.pos.factive	acknowledged	Someone acknowledged that a black dog was jumping off a dock into water	A black dog was jumping from a dock into the water	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8892	past.fpp.neutral.act.pos.factive	acknowledged	Someone acknowledged that a woman was walking in a city street	A woman was walking in a city street	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8892	past.fph.neutral.act.pos.factive	acknowledged	Someone acknowledged that a woman was walking in a city street	A man was wearing a long black jacket and a brown hat and was walking past a park with a lot of blooming trees	neutral	1	neutral	[1, 1, 1]	['neutral', 'neutral', 'neutral']
507	present.fph.neutral.act.pos.factive	acknowledges	Someone acknowledges that a laughing man is dyeing a shirt black on the table which you cannot sit at	A man wearing a dyed black shirt is sitting at the table and laughing	neutral	1.33	neutral	[2, 1, 1]	['neutral', 'neutral', 'neutral']
507	present.fpp.neutral.act.pos.factive	acknowledges	Someone acknowledges that a laughing man is dyeing a shirt black on the table which you cannot sit at	A laughing man is dyeing a shirt black on the table which you cannot sit at	entailment	3.67	entailment	[4, 2, 5]	['entailment', 'neutral', 'entailment']
1573	present.fph.neutral.act.pos.factive	acknowledges	Someone acknowledges that a man is playing the guitar	A person is listening to a trumpet playing	neutral	2	neutral	[1, 3, 2]	['neutral', 'neutral', 'neutral']
1573	present.fpp.neutral.act.pos.factive	acknowledges	Someone acknowledges that a man is playing the guitar	A man is playing the guitar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
2779	present.fph.entailment.act.pos.factive	acknowledges	Someone acknowledges that a person is pouring olive oil into a pot on the stove	A person is pouring cooking oil into a pot	entailment	4.33	entailment	[5, 4, 4]	['entailment', 'entailment', 'entailment']
2779	present.fpp.entailment.act.pos.factive	acknowledges	Someone acknowledges that a person is pouring olive oil into a pot on the stove	A person is pouring olive oil into a pot on the stove	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3047	present.fph.entailment.act.pos.factive	acknowledges	Someone acknowledges that a man is jumping off a low wall	A man is jumping a wall	entailment	3.67	entailment	[2, 4, 5]	['neutral', 'entailment', 'entailment']
3047	present.fpp.entailment.act.pos.factive	acknowledges	Someone acknowledges that a man is jumping off a low wall	A man is jumping off a low wall	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3188	present.fph.neutral.act.pos.factive	acknowledges	Someone acknowledges that a woman is putting away a carrot	A woman is slicing a carrot	neutral	1.67	neutral	[3, 1, 1]	['neutral', 'neutral', 'neutral']
3188	present.fpp.neutral.act.pos.factive	acknowledges	Someone acknowledges that a woman is putting away a carrot	A woman is putting away a carrot	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
3856	present.fph.entailment.act.pos.factive	acknowledges	Someone acknowledges that the man is walking along a path through the wilderness	The man is walking along a track through the wilderness	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3856	present.fpp.entailment.act.pos.factive	acknowledges	Someone acknowledges that the man is walking along a path through the wilderness	The man is walking along a path through the wilderness	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3940	present.fph.entailment.act.pos.factive	acknowledges	Someone acknowledges that the boy is checking a calendar	A boy is looking at a calendar	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
3940	present.fpp.entailment.act.pos.factive	acknowledges	Someone acknowledges that the boy is checking a calendar	The boy is checking a calendar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
4523	present.fph.neutral.act.pos.factive	acknowledges	Someone acknowledges that a man is playing a guitar	A flute is being played by a man	neutral	1	neutral	[1, 1, 1]	['neutral', 'neutral', 'neutral']
4523	present.fpp.neutral.act.pos.factive	acknowledges	Someone acknowledges that a man is playing a guitar	A man is playing a guitar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
5864	present.fph.entailment.act.pos.factive	acknowledges	Someone acknowledges that two women are dancing and singing in front of many people	The women are singing and dancing	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
5864	present.fpp.entailment.act.pos.factive	acknowledges	Someone acknowledges that two women are dancing and singing in front of many people	Two women are dancing and singing in front of many people	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
6546	present.fph.entailment.act.pos.factive	acknowledges	Someone acknowledges that a child, who looks young, is standing in front of some trees	A young child is standing in front of some trees	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
6546	present.fpp.entailment.act.pos.factive	acknowledges	Someone acknowledges that a child, who looks young, is standing in front of some trees	A child, who looks young, is standing in front of some trees	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
6997	present.fph.entailment.act.pos.factive	acknowledges	Someone acknowledges that an opponent is tackling a soccer player	A soccer player is being tackled by his opponent	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
6997	present.fpp.entailment.act.pos.factive	acknowledges	Someone acknowledges that an opponent is tackling a soccer player	An opponent is tackling a soccer player	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
7890	present.fph.neutral.act.pos.factive	acknowledges	Someone acknowledges that two white cats are playing with a brown dog and a ball	Two white dogs are playing with a brown dog and a ball	neutral	1	neutral	[1, 1, 1]	['neutral', 'neutral', 'neutral']
7890	present.fpp.neutral.act.pos.factive	acknowledges	Someone acknowledges that two white cats are playing with a brown dog and a ball	Two white cats are playing with a brown dog and a ball	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
7971	present.fph.neutral.act.pos.factive	acknowledges	Someone acknowledges that the white dogs are looking curiously at the black llama	A black sheep is standing near three white dogs	neutral	1.67	neutral	[1, 1, 3]	['neutral', 'neutral', 'neutral']
7971	present.fpp.neutral.act.pos.factive	acknowledges	Someone acknowledges that the white dogs are looking curiously at the black llama	The white dogs are looking curiously at the black llama	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8104	present.fph.neutral.act.pos.factive	acknowledges	Someone acknowledges that a woman is being smeared with brown substance and a blurry crowd is in the background	A topless woman is being covered in mud	neutral	3	neutral	[3, 3, 3]	['neutral', 'neutral', 'neutral']
8104	present.fpp.neutral.act.pos.factive	acknowledges	Someone acknowledges that a woman is being smeared with brown substance and a blurry crowd is in the background	A woman is being smeared with brown substance and a blurry crowd is in the background	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8412	present.fph.entailment.act.pos.factive	acknowledges	Someone acknowledges that a black dog is jumping off a dock into water	A black dog is jumping from a dock into the water	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
8412	present.fpp.entailment.act.pos.factive	acknowledges	Someone acknowledges that a black dog is jumping off a dock into water	A black dog is jumping off a dock into water	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8892	present.fph.neutral.act.pos.factive	acknowledges	Someone acknowledges that a woman is walking in a city street	A man is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees	neutral	1.67	neutral	[3, 1, 1]	['neutral', 'neutral', 'neutral']
8892	present.fpp.neutral.act.pos.factive	acknowledges	Someone acknowledges that a woman is walking in a city street	A woman is walking in a city street	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
507	present.fph.neutral.act.pos.factive	admits	Someone admits that a laughing man is dyeing a shirt black on the table which you cannot sit at	A man wearing a dyed black shirt is sitting at the table and laughing	neutral	1.67	neutral	[2, 1, 2]	['neutral', 'neutral', 'neutral']
507	present.fpp.neutral.act.pos.factive	admits	Someone admits that a laughing man is dyeing a shirt black on the table which you cannot sit at	A laughing man is dyeing a shirt black on the table which you cannot sit at	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
1573	present.fph.neutral.act.pos.factive	admits	Someone admits that a man is playing the guitar	A person is listening to a trumpet playing	neutral	1.33	neutral	[2, 1, 1]	['neutral', 'neutral', 'neutral']
1573	present.fpp.neutral.act.pos.factive	admits	Someone admits that a man is playing the guitar	A man is playing the guitar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
2779	present.fph.entailment.act.pos.factive	admits	Someone admits that a person is pouring olive oil into a pot on the stove	A person is pouring cooking oil into a pot	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
2779	present.fpp.entailment.act.pos.factive	admits	Someone admits that a person is pouring olive oil into a pot on the stove	A person is pouring olive oil into a pot on the stove	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3047	present.fph.entailment.act.pos.factive	admits	Someone admits that a man is jumping off a low wall	A man is jumping a wall	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
3047	present.fpp.entailment.act.pos.factive	admits	Someone admits that a man is jumping off a low wall	A man is jumping off a low wall	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3188	present.fph.neutral.act.pos.factive	admits	Someone admits that a woman is putting away a carrot	A woman is slicing a carrot	neutral	1.67	neutral	[1, 1, 3]	['neutral', 'neutral', 'neutral']
3188	present.fpp.neutral.act.pos.factive	admits	Someone admits that a woman is putting away a carrot	A woman is putting away a carrot	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
3856	present.fph.entailment.act.pos.factive	admits	Someone admits that the man is walking along a path through the wilderness	The man is walking along a track through the wilderness	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
3856	present.fpp.entailment.act.pos.factive	admits	Someone admits that the man is walking along a path through the wilderness	The man is walking along a path through the wilderness	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3940	present.fph.entailment.act.pos.factive	admits	Someone admits that the boy is checking a calendar	A boy is looking at a calendar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3940	present.fpp.entailment.act.pos.factive	admits	Someone admits that the boy is checking a calendar	The boy is checking a calendar	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
4523	present.fph.neutral.act.pos.factive	admits	Someone admits that a man is playing a guitar	A flute is being played by a man	neutral	1	neutral	[1, 1, 1]	['neutral', 'neutral', 'neutral']
4523	present.fpp.neutral.act.pos.factive	admits	Someone admits that a man is playing a guitar	A man is playing a guitar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
5864	present.fph.entailment.act.pos.factive	admits	Someone admits that two women are dancing and singing in front of many people	The women are singing and dancing	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
5864	present.fpp.entailment.act.pos.factive	admits	Someone admits that two women are dancing and singing in front of many people	Two women are dancing and singing in front of many people	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
6546	present.fph.entailment.act.pos.factive	admits	Someone admits that a child, who looks young, is standing in front of some trees	A young child is standing in front of some trees	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
6546	present.fpp.entailment.act.pos.factive	admits	Someone admits that a child, who looks young, is standing in front of some trees	A child, who looks young, is standing in front of some trees	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
6997	present.fph.entailment.act.pos.factive	admits	Someone admits that an opponent is tackling a soccer player	A soccer player is being tackled by his opponent	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
6997	present.fpp.entailment.act.pos.factive	admits	Someone admits that an opponent is tackling a soccer player	An opponent is tackling a soccer player	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
7890	present.fph.neutral.act.pos.factive	admits	Someone admits that two white cats are playing with a brown dog and a ball	Two white dogs are playing with a brown dog and a ball	neutral	1.33	neutral	[2, 1, 1]	['neutral', 'neutral', 'neutral']
7890	present.fpp.neutral.act.pos.factive	admits	Someone admits that two white cats are playing with a brown dog and a ball	Two white cats are playing with a brown dog and a ball	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
7971	present.fph.neutral.act.pos.factive	admits	Someone admits that the white dogs are looking curiously at the black llama	A black sheep is standing near three white dogs	neutral	1	neutral	[1, 1, 1]	['neutral', 'neutral', 'neutral']
7971	present.fpp.neutral.act.pos.factive	admits	Someone admits that the white dogs are looking curiously at the black llama	The white dogs are looking curiously at the black llama	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8104	present.fph.neutral.act.pos.factive	admits	Someone admits that a woman is being smeared with brown substance and a blurry crowd is in the background	A topless woman is being covered in mud	neutral	3.67	entailment	[4, 3, 4]	['entailment', 'neutral', 'entailment']
8104	present.fpp.neutral.act.pos.factive	admits	Someone admits that a woman is being smeared with brown substance and a blurry crowd is in the background	A woman is being smeared with brown substance and a blurry crowd is in the background	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8412	present.fph.entailment.act.pos.factive	admits	Someone admits that a black dog is jumping off a dock into water	A black dog is jumping from a dock into the water	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8412	present.fpp.entailment.act.pos.factive	admits	Someone admits that a black dog is jumping off a dock into water	A black dog is jumping off a dock into water	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
8892	present.fph.neutral.act.pos.factive	admits	Someone admits that a woman is walking in a city street	A man is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees	neutral	1.67	neutral	[3, 1, 1]	['neutral', 'neutral', 'neutral']
8892	present.fpp.neutral.act.pos.factive	admits	Someone admits that a woman is walking in a city street	A woman is walking in a city street	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
507	past.fpp.neutral.act.pos.factive	admitted	Someone admitted that a laughing man was dyeing a shirt black on the table which you could not sit at	A laughing man was dyeing a shirt black on the table which you could not sit at	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
507	past.fph.neutral.act.pos.factive	admitted	Someone admitted that a laughing man was dyeing a shirt black on the table which you could not sit at	A man wearing a dyed black shirt was sitting at the table and laughing	neutral	1	neutral	[1, 1, 1]	['neutral', 'neutral', 'neutral']
1573	past.fpp.neutral.act.pos.factive	admitted	Someone admitted that a man was playing the guitar	A man was playing the guitar	entailment	4.67	entailment	[5, 4, 5]	['entailment', 'entailment', 'entailment']
1573	past.fph.neutral.act.pos.factive	admitted	Someone admitted that a man was playing the guitar	A person was listening to a trumpet playing	neutral	1.67	neutral	[1, 2, 2]	['neutral', 'neutral', 'neutral']
2779	past.fpp.entailment.act.pos.factive	admitted	Someone admitted that a person was pouring olive oil into a pot on the stove	A person was pouring olive oil into a pot on the stove	entailment	4.33	entailment	[4, 4, 5]	['entailment', 'entailment', 'entailment']
2779	past.fph.entailment.act.pos.factive	admitted	Someone admitted that a person was pouring olive oil into a pot on the stove	A person was pouring cooking oil into a pot	entailment	4	entailment	[4, 4, 4]	['entailment', 'entailment', 'entailment']
3047	past.fpp.entailment.act.pos.factive	admitted	Someone admitted that a man was jumping off a low wall	A man was jumping off a low wall	entailment	4.33	entailment	[4, 4, 5]	['entailment', 'entailment', 'entailment']
3047	past.fph.entailment.act.pos.factive	admitted	Someone admitted that a man was jumping off a low wall	A man was jumping a wall	entailment	4.33	entailment	[4, 4, 5]	['entailment', 'entailment', 'entailment']
3188	past.fpp.neutral.act.pos.factive	admitted	Someone admitted that a woman was putting away a carrot	A woman was putting away a carrot	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3188	past.fph.neutral.act.pos.factive	admitted	Someone admitted that a woman was putting away a carrot	A woman was slicing a carrot	neutral	1.67	neutral	[1, 3, 1]	['neutral', 'neutral', 'neutral']
3856	past.fpp.entailment.act.pos.factive	admitted	Someone admitted that the man was walking along a path through the wilderness	The man was walking along a path through the wilderness	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
3856	past.fph.entailment.act.pos.factive	admitted	Someone admitted that the man was walking along a path through the wilderness	The man was walking along a track through the wilderness	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
3940	past.fpp.entailment.act.pos.factive	admitted	Someone admitted that the boy was checking a calendar	The boy was checking a calendar	entailment	4.33	entailment	[5, 3, 5]	['entailment', 'neutral', 'entailment']
3940	past.fph.entailment.act.pos.factive	admitted	Someone admitted that the boy was checking a calendar	A boy was looking at a calendar	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
4523	past.fpp.neutral.act.pos.factive	admitted	Someone admitted that a man was playing a guitar	A man was playing a guitar	entailment	4.67	entailment	[5, 4, 5]	['entailment', 'entailment', 'entailment']
4523	past.fph.neutral.act.pos.factive	admitted	Someone admitted that a man was playing a guitar	A flute was being played by a man	neutral	2	neutral	[1, 4, 1]	['neutral', 'entailment', 'neutral']
5864	past.fpp.entailment.act.pos.factive	admitted	Someone admitted that two women were dancing and singing in front of many people	Two women were dancing and singing in front of many people	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
5864	past.fph.entailment.act.pos.factive	admitted	Someone admitted that two women were dancing and singing in front of many people	The women were singing and dancing	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
6546	past.fpp.entailment.act.pos.factive	admitted	Someone admitted that a child, who looked young, was standing in front of some trees	A child, who looked young, was standing in front of some trees	entailment	4.67	entailment	[4, 5, 5]	['entailment', 'entailment', 'entailment']
6546	past.fph.entailment.act.pos.factive	admitted	Someone admitted that a child, who looked young, was standing in front of some trees	A young child was standing in front of some trees	entailment	4.33	entailment	[5, 4, 4]	['entailment', 'entailment', 'entailment']
6997	past.fpp.entailment.act.pos.factive	admitted	Someone admitted that an opponent was tackling a soccer player	An opponent was tackling a soccer player	entailment	4.67	entailment	[5, 4, 5]	['entailment', 'entailment', 'entailment']
6997	past.fph.entailment.act.pos.factive	admitted	Someone admitted that an opponent was tackling a soccer player	A soccer player was being tackled by his opponent	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
7890	past.fpp.neutral.act.pos.factive	admitted	Someone admitted that two white cats were playing with a brown dog and a ball	Two white cats were playing with a brown dog and a ball	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
7890	past.fph.neutral.act.pos.factive	admitted	Someone admitted that two white cats were playing with a brown dog and a ball	Two white dogs were playing with a brown dog and a ball	neutral	2.33	neutral	[4, 1, 2]	['entailment', 'neutral', 'neutral']
7971	past.fpp.neutral.act.pos.factive	admitted	Someone admitted that the white dogs were looking curiously at the black llama	The white dogs were looking curiously at the black llama	entailment	4.67	entailment	[5, 4, 5]	['entailment', 'entailment', 'entailment']
7971	past.fph.neutral.act.pos.factive	admitted	Someone admitted that the white dogs were looking curiously at the black llama	A black sheep was standing near three white dogs	neutral	1.67	neutral	[3, 1, 1]	['neutral', 'neutral', 'neutral']
8104	past.fpp.neutral.act.pos.factive	admitted	Someone admitted that a woman was being smeared with brown substance and a blurry crowd was in the background	A woman was being smeared with brown substance and a blurry crowd was in the background	entailment	4.33	entailment	[4, 4, 5]	['entailment', 'entailment', 'entailment']
8104	past.fph.neutral.act.pos.factive	admitted	Someone admitted that a woman was being smeared with brown substance and a blurry crowd was in the background	A topless woman was being covered in mud	neutral	2.67	neutral	[4, 3, 1]	['entailment', 'neutral', 'neutral']
8412	past.fpp.entailment.act.pos.factive	admitted	Someone admitted that a black dog was jumping off a dock into water	A black dog was jumping off a dock into water	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8412	past.fph.entailment.act.pos.factive	admitted	Someone admitted that a black dog was jumping off a dock into water	A black dog was jumping from a dock into the water	entailment	4.67	entailment	[5, 5, 4]	['entailment', 'entailment', 'entailment']
8892	past.fpp.neutral.act.pos.factive	admitted	Someone admitted that a woman was walking in a city street	A woman was walking in a city street	entailment	5	entailment	[5, 5, 5]	['entailment', 'entailment', 'entailment']
8892	past.fph.neutral.act.pos.factive	admitted	Someone admitted that a woman was walking in a city street	A man was wearing a long black jacket and a brown hat and was walking past a park with a lot of blooming trees	neutral	2.33	neutral	[3, 1, 3]	['neutral', 'neutral', 'neutral']
507	past.fpp.neutral.act.pos.non-factive	argued	Someone argued that a laughing man was dyeing a shirt black on the table which you could not sit at	A laughing man was dyeing a shirt black on the table which you could not sit at	neutral	4	entailment	[4, 3, 5]	['entailment', 'neutral', 'entailment']
507	past.fph.neutral.act.pos.non-factive	argued	Someone argued that a laughing man was dyeing a shirt black on the table which you could not sit at	A man wearing a dyed black shirt was sitting at the table and laughing	neutral	2.33	neutral	[3, 1, 3]	['neutral', 'neutral', 'neutral']
1573	past.fpp.neutral.act.pos.non-factive	argued	Someone argued that a man was playing the guitar	A man was playing the guitar	neutral	3.67	neutral	[5, 3, 3]	['entailment', 'neutral', 'neutral']
1573	past.fph.neutral.act.pos.non-factive	argued	Someone argued that a man was playing the guitar	A person was listening to a trumpet playing	neutral	2	neutral	[1, 3, 2]	['neutral', 'neutral', 'neutral']
2779	past.fpp.entailment.act.pos.non-factive	argued	Someone argued that a person was pouring olive oil into a pot on the stove	A person was pouring olive oil into a pot on the stove	neutral	3.67	entailment	[4, 3, 4]	['entailment', 'neutral', 'entailment']
2779	past.fph.entailment.act.pos.non-factive	argued	Someone argued that a person was pouring olive oil into a pot on the stove	A person was pouring cooking oil into a pot	neutral	3.67	entailment	[4, 3, 4]	['entailment', 'neutral', 'entailment']
